instruction,input,output
Interpret OBD-II code P0100,,Mass or Volume Air Flow Circuit Malfunction
Interpret OBD-II code P0101,,Mass or Volume Air Flow Circuit Range/Performance Problem
Interpret OBD-II code P0102,,Mass or Volume Air Flow Circuit Low Input
Interpret OBD-II code P0103,,Mass or Volume Air Flow Circuit High Input
Interpret OBD-II code P0104,,Mass or Volume Air Flow Circuit Intermittent
Interpret OBD-II code P0105,,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction
Interpret OBD-II code P0106,,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem
Interpret OBD-II code P0107,,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input
Interpret OBD-II code P0108,,Manifold Absolute Pressure/Barometric Pressure Circuit High Input
Interpret OBD-II code P0109,,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent
Interpret OBD-II code P0110,,IAT Circuit Malfunction
Interpret OBD-II code P0111,,Intake Air Temperature Circuit Range/Performance Problem
Interpret OBD-II code P0112,,Intake Air Temperature Circuit Low Input
Interpret OBD-II code P0113,,Intake Air Temperature Circuit High Input
Interpret OBD-II code P0114,,Intake Air Temperature Circuit Intermittent
Interpret OBD-II code P0115,,Engine Coolant Temperature Circuit Malfunction
Interpret OBD-II code P0116,,Engine Coolant Temperature Circuit Range/Performance Problem
Interpret OBD-II code P0117,,Engine Coolant Temperature Circuit Low Input
Interpret OBD-II code P0118,,Engine Coolant Temperature Circuit High Input
Interpret OBD-II code P0119,,Engine Coolant Temperature Circuit Intermittent
Interpret OBD-II code P0120,,Throttle Position Sensor/Switch A Circuit Malfunction
Interpret OBD-II code P0121,,Throttle Position Sensor/Switch A Circuit Range/Performance Problem
Interpret OBD-II code P0122,,Throttle Position Sensor/Switch A Circuit Low Input
Interpret OBD-II code P0123,,Throttle Position Sensor/Switch A Circuit High Input
Interpret OBD-II code P0124,,Throttle Position Sensor/Switch A Circuit Intermittent
Interpret OBD-II code P0125,,Insufficient Coolant Temperature for Closed Loop Fuel Control;
Interpret OBD-II code P0126,,ECT Excessive Time to Closed Loop Fuel Control
Interpret OBD-II code P0128,,Insufficient Coolant Temperature for Stable Operation
Interpret OBD-II code P0130,,Coolant Thermostat Malfunction
Interpret OBD-II code P0131,,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1)
Interpret OBD-II code P0132,,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1)
Interpret OBD-II code P0133,,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1)
Interpret OBD-II code P0134,,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1)
Interpret OBD-II code P0135,,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1)
Interpret OBD-II code P0136,,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
Interpret OBD-II code P0137,,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2)
Interpret OBD-II code P0138,,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2)
Interpret OBD-II code P0139,,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2)
Interpret OBD-II code P0140,,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2)
Interpret OBD-II code P0141,,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 2)
Interpret OBD-II code P0142,,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
